category,name,price,meal__info,meal__choose,attribute,sidedishes_list,dropdown,dropdown2
Hausgemachte Cordon Bleu,Cordon Bleu Förster,"28,00 CHF","gefüllt mit Champignons, Speck, Zwiebeln, Raclette und Schinken","Wahl aus: mit Pouletfleisch, mit Schweinefleisch, mit Kalbfleisch, mi Röstikroketten, mit Pommes frites und mehr.",,[],"mit Pouletfleisch, mit Schweinefleisch, mit Kalbfleisch (+7,00 CHF)",
Hausgemachte Cordon Bleu,Cordon Bleu Apenzeller,"28,00 CHF","gefüllt mit Schinken, Knoblauch, Pfeffer, Senf, Gewürzgurken und Appenzellerkäse","Wahl aus: mit Pouletfleisch, mit Schweinefleisch, mit Kalbfleisch, mi Röstikroketten, mit Pommes frites und mehr.",,[],,
Hausgemachte Cordon Bleu,Cordon Bleu Mediterran,"28,00 CHF","gefüllt mit frischen Tomaten, getrockneten Tomaten, Knoblauchzehen, frischem Basilikum und Raclettekäse","Wahl aus: mit Pouletfleisch, mit Schweinefleisch, mit Kalbfleisch, mi Röstikroketten, mit Pommes frites und mehr.",,[],,
Hausgemachte Cordon Bleu,Cordon Bleu Classic,"25,00 CHF",gefüllt mit Schinken und Mozzarella,"Wahl aus: mit Pouletfleisch, mit Schweinefleisch, mit Kalbfleisch, mi Röstikroketten, mit Pommes frites und mehr.",,[],,
Hausgemachte Cordon Bleu,Cordon Bleu Indisch,"27,00 CHF","gefüllt mit Rohschinken, Ananas, Curry und Mozzarella","Wahl aus: mit Pouletfleisch, mit Schweinefleisch, mit Kalbfleisch, mi Röstikroketten, mit Pommes frites und mehr.",,[],"mit Pouletfleisch, mit Schweinefleisch, mit Kalbfleisch (+8,00 CHF)",
Hausgemachte Cordon Bleu,Cordon Bleu a la Mama,"28,00 CHF","gefüllt mit Oliven, scharfler Salami, getrockneten Tomaten und Raclettekäse","Wahl aus: mit Pouletfleisch, mit Schweinefleisch, mit Kalbfleisch, mi Röstikroketten, mit Pommes frites und mehr.",,[],"mit Pouletfleisch, mit Schweinefleisch, mit Kalbfleisch (+7,00 CHF)",
Hausgemachte Cordon Bleu,Cordon Bleu Bombay,"28,00 CHF","gefüllt mit Schinken, Bananen, Mozzarella und Curry","Wahl aus: mit Pouletfleisch, mit Schweinefleisch, mit Kalbfleisch, mi Röstikroketten, mit Pommes frites und mehr.",,[],"mit Pouletfleisch, mit Schweinefleisch, mit Kalbfleisch (+7,00 CHF)",
Hausgemachte Cordon Bleu,Hot Cordon Bleu,"28,00 CHF","gefüllt mit Peperoncini, Schinken und Appenzellerkäse","Wahl aus: mit Pouletfleisch, mit Schweinefleisch, mit Kalbfleisch, mi Röstikroketten, mit Pommes frites und mehr.",,[],"mit Pouletfleisch, mit Schweinefleisch, mit Kalbfleisch (+7,00 CHF)",
Hausgemachte Cordon Bleu,Cordon Bleu Schweden,"28,00 CHF","gefüllt mit Raclettekäse, Pflaumen und Schinken","Wahl aus: mit Pouletfleisch, mit Schweinefleisch, mit Kalbfleisch, mi Röstikroketten, mit Pommes frites und mehr.",,[],"mit Pouletfleisch, mit Schweinefleisch, mit Kalbfleisch (+7,00 CHF)",
Hausgemachte Cordon Bleu,Cordon Bleu Romagna,"28,00 CHF","gefüllt mit Speck, Zwiebeln, Eiern und Raclettekäse","Wahl aus: mit Pouletfleisch, mit Schweinefleisch, mit Kalbfleisch, mi Röstikroketten, mit Pommes frites und mehr.",,[],,
